
Quadro extraído em 13 de Setembro de 2024 (17:31:53)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024 - Cidade);Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral;Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) -  Trimestral;
;;Categoria do alojamento familiar;;
;;Total;;
;;? ;? ;
Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) -  Trimestral


Última atualização destes dados: 16 de julho de 2024


Metainformação associada ao quadro

Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?)
Designação;Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Estatisticas de preços da habitação ao nível local
Primeiro período disponível;4.º Trimestre de 2019
Último período disponível;1.º Trimestre de 2024
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Localização geográfica (NUTS - 2024 - Cidade)
     Dimensão 3;Categoria do alojamento familiar
Conceitos
     ALOJAMENTO;Local distinto e independente que, pelo modo como foi construído, reconstruído, ampliado, transformado ou está a ser utilizado, se destina a habitação com a condição de não estar a ser utilizado totalmente para outros fins no momento de referência: por distinto entende-se que é cercado por paredes de tipo clássico ou de outro tipo, é coberto e permite que uma pessoa ou um grupo de pessoas possa dormir, preparar refeições ou abrigar-se das intempéries separado de outros membros da coletividade; por independente entende-se que os seus ocupantes não têm que atravessar outros alojamentos para entrar ou sair do alojamento onde habitam.
     ALOJAMENTO FAMILIAR;Alojamento que, normalmente, se destina a alojar apenas uma família e não é totalmente utilizado para outros fins no momento de referência.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;&lt - p&gt - Mediana do valor das vendas por m2 de alojamentos familiares nos &uacute - ltimos 12 meses&lt - /p&gt - 
Unidade de Medida (símbolo);Euro (?)
Potência de 10;0
Data da última atualização;16-Jul-2024
Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?)
Designação;Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Estatisticas de preços da habitação ao nível local
Primeiro período disponível;4.º Trimestre de 2019
Último período disponível;1.º Trimestre de 2024
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Localização geográfica (NUTS - 2024 - Cidade)
Conceitos
     ALOJAMENTO;Local distinto e independente que, pelo modo como foi construído, reconstruído, ampliado, transformado ou está a ser utilizado, se destina a habitação com a condição de não estar a ser utilizado totalmente para outros fins no momento de referência: por distinto entende-se que é cercado por paredes de tipo clássico ou de outro tipo, é coberto e permite que uma pessoa ou um grupo de pessoas possa dormir, preparar refeições ou abrigar-se das intempéries separado de outros membros da coletividade; por independente entende-se que os seus ocupantes não têm que atravessar outros alojamentos para entrar ou sair do alojamento onde habitam.
     ALOJAMENTO FAMILIAR;Alojamento que, normalmente, se destina a alojar apenas uma família e não é totalmente utilizado para outros fins no momento de referência.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;&lt - p&gt - Mediana do valor das vendas por m2 de alojamentos familiares em apartamentos nos &uacute - ltimos 12 meses&lt - /p&gt - 
Unidade de Medida (símbolo);Euro (?)
Potência de 10;0
Data da última atualização;16-Jul-2024
